,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location
1,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.032,0.93,0.1,0.017,0.07400000000000001,0.022000000000000002,0.054000000000000006,Brooklyn Heights,BK09,"{'lat': 41.42533, 'lng': -81.68818}"
2,0.0,1.0,1.0,0.0,0.2,1.0,0.35,0.0,1.0,0.032,0.93,0.1,0.017,0.07400000000000001,0.022000000000000002,0.054000000000000006,Cobble Hill,BK09,"{'lat': 48.68293, 'lng': -123.60264}"
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.054000000000000006,0.9279999999999999,0.166,0.03,0.095,0.126,0.106,Sheepshead Bay,BK17,"{'lat': 40.59122, 'lng': -73.94458}"
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.054000000000000006,0.9279999999999999,0.166,0.03,0.095,0.126,0.106,Gerritsen Beach,BK17,"{'lat': 40.58694, 'lng': -73.92279}"
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.054000000000000006,0.9279999999999999,0.166,0.03,0.095,0.126,0.106,Manhattan Beach,BK17,"{'lat': 33.88474, 'lng': -118.41091}"
6,0.1,1.0,1.0,0.35,0.75,1.0,0.95,0.05,1.0,0.129,0.88,0.281,0.040999999999999995,0.095,0.121,0.079,Brighton Beach,BK19,"{'lat': 32.21548, 'lng': -80.84844}"
7,0.0,1.0,0.35,0.55,0.3,1.0,0.25,0.0,1.0,0.062,0.9109999999999999,0.371,0.068,0.155,0.28600000000000003,0.2,Seagate,BK21,"{'lat': 34.20934, 'lng': -77.84359}"
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.062,0.9109999999999999,0.371,0.068,0.155,0.28600000000000003,0.2,Coney Island,BK21,"{'lat': 40.57788, 'lng': -73.99403}"
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.018000000000000002,0.9259999999999999,0.147,0.016,0.10300000000000001,0.068,0.085,West Brighton,BK23,"{'lat': 40.5775, 'lng': -73.9725}"
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,1.0,0.08900000000000001,0.899,0.17800000000000002,0.03,0.073,0.156,0.09300000000000001,Homecrest,BK25,"{'lat': 39.09039, 'lng': -77.05526}"
11,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.15,1.0,0.09,0.8690000000000001,0.237,0.032,0.098,0.239,0.11900000000000001,Gravesend,BK26,"{'lat': 51.44138, 'lng': 0.37371}"
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.09300000000000001,0.884,0.158,0.023,0.046,0.25,0.079,Bath Beach,BK27,"{'lat': 40.60455, 'lng': -74.00431}"
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.136,0.8959999999999999,0.16,0.022000000000000002,0.040999999999999995,0.301,0.08900000000000001,Dyker Heights,BK30,"{'lat': 40.62149, 'lng': -74.00958}"
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.094,0.8959999999999999,0.17,0.022000000000000002,0.057,0.14300000000000002,0.087,Bay Ridge,BK31,"{'lat': 40.63399, 'lng': -74.01458}"
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.038,0.9109999999999999,0.151,0.044000000000000004,0.115,0.11800000000000001,0.08199999999999999,Carroll Gardens,BK33,"{'lat': 40.67949, 'lng': -73.99916}"
19,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.038,0.9109999999999999,0.151,0.044000000000000004,0.115,0.11800000000000001,0.08199999999999999,Columbia Street,BK33,"{'lat': 14.59418, 'lng': 121.05732}"
20,0.1,1.0,0.4,0.55,0.75,1.0,0.8,0.0,1.0,0.038,0.9109999999999999,0.151,0.044000000000000004,0.115,0.11800000000000001,0.08199999999999999,Red Hook,BK33,"{'lat': 41.99509, 'lng': -73.87541}"
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.067,0.862,0.289,0.096,0.161,0.24,0.17,Stuyvesant Heights,BK35,"{'lat': 40.68266, 'lng': -73.93402}"
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.040999999999999995,0.9079999999999999,0.076,0.028999999999999998,0.10099999999999999,0.075,0.061,Park Slope,BK37,"{'lat': 40.6701, 'lng': -73.98597}"
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.040999999999999995,0.9079999999999999,0.076,0.028999999999999998,0.10099999999999999,0.075,0.061,Gowanus,BK37,"{'lat': 40.67328, 'lng': -73.99037}"
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.067,0.917,0.212,0.07,0.222,0.146,0.096,DUMBO,BK38,"{'lat': 40.70257, 'lng': -73.99045}"
26,0.0,1.0,0.9,0.25,0.25,1.0,0.6,0.0,1.0,0.067,0.917,0.212,0.07,0.222,0.146,0.096,Vinegar Hill,BK38,"{'lat': 38.03097, 'lng': -78.48696}"
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.067,0.917,0.212,0.07,0.222,0.146,0.096,Downtown Brooklyn,BK38,"{'lat': 40.69371, 'lng': -73.98596}"
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.067,0.917,0.212,0.07,0.222,0.146,0.096,Boerum Hill,BK38,"{'lat': 40.6848, 'lng': -73.98447}"
29,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.032,0.934,0.102,0.02,0.047,0.095,0.062,Windsor Terrace,BK40,"{'lat': 37.04042, 'lng': -76.37245}"
30,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,0.159,0.8420000000000001,0.254,0.028999999999999998,0.057999999999999996,0.192,0.075,Kensington,BK41,"{'lat': 51.50094, 'lng': -0.19175}"
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.156,0.8370000000000001,0.20600000000000002,0.033,0.092,0.203,0.106,Flatbush,BK42,"{'lat': 40.65205, 'lng': -73.95903}"
33,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.10099999999999999,0.899,0.233,0.027999999999999997,0.059000000000000004,0.139,0.091,Midwood,BK43,"{'lat': 35.22403, 'lng': -80.80507}"
34,0.1,1.0,0.55,0.95,0.9,1.0,0.65,0.0,1.0,0.07200000000000001,0.929,0.142,0.034,0.086,0.14400000000000002,0.07200000000000001,Madison,BK44,"{'lat': 43.07305, 'lng': -89.40123}"
35,0.55,1.0,1.0,1.0,1.0,1.0,0.2,0.0,1.0,0.051,0.9309999999999999,0.077,0.022000000000000002,0.08900000000000001,0.09,0.09699999999999999,Georgetown,BK45,"{'lat': 5.41123, 'lng': 100.33543}"
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.051,0.9309999999999999,0.077,0.022000000000000002,0.08900000000000001,0.09,0.09699999999999999,Marine Park,BK45,"{'lat': 40.59122, 'lng': -73.91069}"
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.051,0.9309999999999999,0.077,0.022000000000000002,0.08900000000000001,0.09,0.09699999999999999,Bergen Beach,BK45,"{'lat': 40.62038, 'lng': -73.9068}"
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.051,0.9309999999999999,0.077,0.022000000000000002,0.08900000000000001,0.09,0.09699999999999999,Mill Basin,BK45,"{'lat': 40.61008, 'lng': -73.91109}"
